p,	poly,	modulus
2,	x^26 + x^25 + a*x^10 + a + 1,	a^2 + a + 1
3,	x^26 + x^25 + a*x^2 + a,	a^2 + 2*a + 2
5,	x^26 + x^25 + 3*a,	a^2 + 4*a + 2
7,	x^26 + x^25 + 2*a*x + 6*a + 2,	a^2 + 6*a + 3
11,	x^26 + 2*x^25 + 9*a + 2,	a^2 + 7*a + 2
13,	x^26 + x^25 + x + 6*a,	a^2 + 12*a + 2
17,	x^26 + x^25 + 13*a,	a^2 + 16*a + 3
19,	x^26 + x^25 + a,	a^2 + 18*a + 2
23,	x^26 + x^25 + 12*a + 8,	a^2 + 21*a + 5
29,	x^26 + x^25 + 13*a,	a^2 + 24*a + 2
31,	x^26 + x^25 + 21*a,	a^2 + 29*a + 3
37,	x^26 + x^25 + 7*a,	a^2 + 33*a + 2
41,	x^26 + x^25 + 3*a,	a^2 + 38*a + 6
43,	x^26 + x^25 + 25*a,	a^2 + 42*a + 3
47,	x^26 + x^25 + 8*a,	a^2 + 45*a + 5
53,	x^26 + x^25 + 38*a + 4,	a^2 + 49*a + 2
59,	x^26 + x^25 + 21*a,	a^2 + 58*a + 2
61,	x^26 + x^25 + 29*a,	a^2 + 60*a + 2
67,	x^26 + x^25 + 18*a + 1,	a^2 + 63*a + 2
71,	x^26 + x^25 + 10*a,	a^2 + 69*a + 7
73,	x^26 + x^25 + 48*a,	a^2 + 70*a + 5
79,	x^26 + x^25 + 14*a,	a^2 + 78*a + 3
83,	x^26 + x^25 + 23*a,	a^2 + 82*a + 2
89,	x^26 + x^25 + 31*a,	a^2 + 82*a + 3
97,	x^26 + x^25 + 15*a,	a^2 + 96*a + 5
101,	x^26 + x^25 + 12*a,	a^2 + 97*a + 2
103,	x^26 + x^25 + 22*a,	a^2 + 102*a + 5
107,	x^26 + x^25 + 3*a,	a^2 + 103*a + 2
109,	x^26 + x^25 + 67*a,	a^2 + 108*a + 6
113,	x^26 + x^25 + 20*a,	a^2 + 101*a + 3
127,	x^26 + x^25 + 40*a,	a^2 + 126*a + 3
131,	x^26 + x^25 + 13*a,	a^2 + 127*a + 2
137,	x^26 + x^25 + 89*a,	a^2 + 131*a + 3
139,	x^26 + x^25 + 18*a,	a^2 + 138*a + 2
149,	x^26 + x^25 + 34*a,	a^2 + 145*a + 2
151,	x^26 + x^25 + 102*a,	a^2 + 149*a + 6
157,	x^26 + x^25 + 41*a,	a^2 + 152*a + 5
163,	x^26 + x^25 + 53*a,	a^2 + 159*a + 2
167,	x^26 + x^25 + 41*a,	a^2 + 166*a + 5
173,	x^26 + x^25 + 39*a,	a^2 + 169*a + 2
179,	x^26 + x^25 + 103*a + 1,	a^2 + 172*a + 2
181,	x^26 + x^25 + 3*a,	a^2 + 177*a + 2
191,	x^26 + x^25 + 4*a,	a^2 + 190*a + 19
193,	x^26 + x^25 + 32*a,	a^2 + 192*a + 5
197,	x^26 + x^25 + 35*a,	a^2 + 192*a + 2
199,	x^26 + x^25 + 17*a,	a^2 + 193*a + 3
211,	x^26 + x^25 + 42*a,	a^2 + 207*a + 2
223,	x^26 + x^25 + 14*a,	a^2 + 221*a + 3
227,	x^26 + x^25 + 28*a,	a^2 + 220*a + 2
229,	x^26 + x^25 + 65*a,	a^2 + 228*a + 6
233,	x^26 + x^25 + 28*a,	a^2 + 232*a + 3
239,	x^26 + x^25 + 28*a,	a^2 + 237*a + 7
241,	x^26 + x^25 + 18*a,	a^2 + 238*a + 7
251,	x^26 + x^25 + 123*a,	a^2 + 242*a + 6
257,	x^26 + x^25 + 9*a,	a^2 + 251*a + 3
263,	x^26 + x^25 + 34*a,	a^2 + 261*a + 5
269,	x^26 + x^25 + 29*a,	a^2 + 268*a + 2
271,	x^26 + x^25 + 17*a,	a^2 + 269*a + 6
277,	x^26 + x^25 + 3*a,	a^2 + 274*a + 5
281,	x^26 + x^25 + 34*a,	a^2 + 280*a + 3
283,	x^26 + x^25 + 9*a,	a^2 + 282*a + 3
293,	x^26 + x^25 + 18*a,	a^2 + 292*a + 2
307,	x^26 + x^25 + 12*a,	a^2 + 306*a + 5
311,	x^26 + x^25 + 3*a,	a^2 + 310*a + 17
313,	x^26 + x^25 + 27*a,	a^2 + 310*a + 10
317,	x^26 + x^25 + 3*a,	a^2 + 313*a + 2
331,	x^26 + x^25 + 7*a,	a^2 + 326*a + 3
337,	x^26 + x^25 + 27*a,	a^2 + 332*a + 10
347,	x^26 + x^25 + 56*a,	a^2 + 343*a + 2
349,	x^26 + x^25 + 61*a,	a^2 + 348*a + 2
353,	x^26 + x^25 + 19*a,	a^2 + 348*a + 3
359,	x^26 + x^25 + 42*a,	a^2 + 358*a + 7
367,	x^26 + x^25 + 5*a,	a^2 + 366*a + 6
373,	x^26 + x^25 + 52*a,	a^2 + 369*a + 2
379,	x^26 + x^25 + 22*a,	a^2 + 374*a + 2
383,	x^26 + x^25 + 8*a,	a^2 + 382*a + 5
389,	x^26 + x^25 + 48*a,	a^2 + 379*a + 2
397,	x^26 + x^25 + 4*a,	a^2 + 392*a + 5
401,	x^26 + x^25 + 59*a,	a^2 + 396*a + 3
409,	x^26 + x^25 + 98*a,	a^2 + 404*a + 21
